State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobars,2025-02-01,2025,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-02-04,2025,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-02-05,2025,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-02-15,2025,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-02-18,2025,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-14,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-15,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-19,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-23,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-27,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-28,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-03-31,2025,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-04-06,2025,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-04-13,2025,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-04-17,2025,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-04-27,2025,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-04,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-05,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-17,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-21,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-25,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-30,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-05-31,2025,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-06-06,2025,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-06-15,2025,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-06-18,2025,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-06-20,2025,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-07-27,2018,7,1.172469275,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-08-01,2018,8,2.892923572,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-08-10,2018,8,40.15258673,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-08-23,2018,8,71.31069995,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-08-24,2018,8,24.65391703,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2018-09-04,2018,9,45.20530807,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-07,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-08,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-16,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-19,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-25,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-01-28,2020,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-02,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-03,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-20,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-21,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-24,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-02-25,2020,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-03-07,2020,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2020-03-12,2020,3,0.0,NRSC VIC MODEL
